	school_name	City	State	highschool_gpa	sat_avg	Region	starting_meadian_salary	mid_career_median_salary	mid_career_10th_percentile_salary	mid_career_25th_percentile_salary	mid_career_75th_percentile_salary	mid_career_90th_percentile_salary
0	Princeton University	Princeton	NJ	3.9	1400.0	Northeastern	66500.0	131000.0	68900.0	100000.0	190000.0	261000.0
1	Harvard University	Cambridge	MA	4.0	1430.0	Northeastern	63400.0	124000.0	54800.0	86200.0	179000.0	288000.0
2	Yale University	New Haven	CT	3.6	1420.0	Northeastern	59100.0	126000.0	58000.0	80600.0	198000.0	326000.0
3	Columbia University	New York	NY	3.6	1430.0	Northeastern	59400.0	107000.0	50300.0	71900.0	161000.0	241000.0
4	Stanford University	Stanford	CA	3.6	1380.0	California	70400.0	129000.0	68400.0	93100.0	184000.0	257000.0
5	University of Pennsylvania	Philadelphia	PA	3.9	1380.0	Northeastern	60900.0	120000.0	55900.0	79200.0	192000.0	282000.0
6	Duke University	Durham	NC	3.6	1380.0	Southern	58900.0	106000.0	56000.0	77400.0	149000.0	218000.0
7	Dartmouth College	Hanover	NH	3.6	1350.0	Northeastern	58000.0	134000.0	63100.0	90200.0	234000.0	321000.0
8	Northwestern University	Evanston	IL	3.6	1400.0	Midwestern	52700.0	95900.0	51900.0	69100.0	144000.0	205000.0
9	Brown University	Providence	RI	3.6	1370.0	Northeastern	56200.0	109000.0	55400.0	74400.0	159000.0	228000.0
10	Cornell University	Ithaca	NY	3.6	1330.0	Northeastern	60300.0	110000.0	56800.0	79800.0	160000.0	210000.0
11	Rice University	Houston	TX	3.6	1410.0	Southern	64000.0	110000.0	55900.0	82100.0	141000.0	216000.0
12	Vanderbilt University	Nashville	TN	3.8	1420.0	Southern	51200.0	104000.0	49900.0	68100.0	147000.0	222000.0
13	University of Notre Dame	Notre Dame	IN	3.6	1350.0	Midwestern	56300.0	116000.0	66400.0	85100.0	163000.0	235000.0
14	Georgetown University	Washington	DC	3.6	1320.0	Southern	55000.0	110000.0	60300.0	85800.0	174000.0	248000.0
15	Emory University	Atlanta	GA	3.7	1290.0	Southern	52000.0	91600.0	52500.0	63300.0	128000.0	192000.0
16	Boston College	Chestnut Hill	MA	3.6	1260.0	Northeastern	52700.0	103000.0	48900.0	70000.0	143000.0	195000.0
17	Georgia Institute of Technology	Atlanta	GA	3.9	1320.0	Southern	58300.0	106000.0	67200.0	85200.0	137000.0	183000.0
18	Boston University	Boston	MA	3.6	1220.0	Northeastern	49000.0	93900.0	48000.0	64900.0	130000.0	193000.0
19	Case Western Reserve University	Cleveland	OH	3.6	1280.0	Midwestern	56200.0	96500.0	54900.0	76500.0	123000.0	168000.0
20	Northeastern University	Boston	MA	3.6	1330.0	Northeastern	50500.0	86400.0	47100.0	62700.0	117000.0	159000.0
